prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sultan Syarif Kasim Riau  - Hukum Tata Negara (Siyasah)
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Imam Bonjol Padang - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Surakarta - Psikologi Islam,UIN Sumatera Utara Medan - Akuntansi Syari'ah
UIN Ar-Raniry Banda Aceh - Pendidikan Bahasa Inggris,UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Imam Bonjol Padang - Hukum Tatanegara (Siyasah Syar'iyyah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris
UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sumatera Utara Medan - Bimbingan dan Penyuluhan Islam,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Ekonomi Islam
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Imam Bonjol Padang - Ilmu Al-Qur'an dan Tafsir ,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Gunung Djati Bandung  - Hukum Pidana Islam,UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah)
UIN Sumatera Utara Medan - Perbankan Syari'ah,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Syarif Hidayatullah Jakarta - Perbankan Syariah,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Ekonomi Islam,UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah
