prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Intan Bandar Lampung  - Hukum Keluarga ( Ahwal Syakhsiyyah )
UIN Raden Intan Bandar Lampung  - Manajemen Pendidikan Islam ,UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Gunung Djati Bandung  - Bahasa dan Sastra Arab,UIN Syarif Hidayatullah Jakarta - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Gunung Djati Bandung  - Ilmu Al-Quran dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir
UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Syarif Hidayatullah Jakarta - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab
UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Kudus  - Ilmu al-Quran dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,IAIN Kudus  - Ilmu al-Quran dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah,UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Raden Intan Bandar Lampung  - Hukum Keluarga ( Ahwal Syakhsiyyah ),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Kudus  - Hukum Keluarga Islam (Ahwal Syakhshiyyah)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab
UIN Walisongo Semarang  - Tasawuf dan Psikoterapi,UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Intan Bandar Lampung  - Ilmu Al-Qur'an dan Tafsir,
UIN Maulana Malik Ibrahim Malang  - Tadris Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Maulana Malik Ibrahim Malang  - Hukum Tata Negara (Siyasah)
UIN Walisongo Semarang  - Akuntansi Syariah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam
UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Gunung Djati Bandung  - Sejarah dan Peradaban Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Pendidikan Islam
UIN Sunan Ampel Surabaya  - Ekonomi Syariah,UIN Sunan Ampel Surabaya  - Tasawuf dan Psikoterapi,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Pendidikan Islam
UIN Raden Fatah Palembang - Psikologi Islam,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),IAIN Surakarta - Hukum Keluarga Islam
UIN Raden Intan Bandar Lampung  - Hukum Ekonomi Syariah ( Muamalah ),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Raden Intan Bandar Lampung  - Pengembangan Masyarakat Islam,IAIN Metro - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini
UIN Sultan Maulana Hasanuddin Banten  - Hukum Tata Negara,UIN Sultan Maulana Hasanuddin Banten  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah,UIN Sunan Ampel Surabaya  - Tasawuf dan Psikoterapi
UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Raden Intan Bandar Lampung  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
UIN Syarif Hidayatullah Jakarta - Perbankan Syariah,UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Sunan Gunung Djati Bandung  - Hukum Pidana Islam,UIN Raden Intan Bandar Lampung  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama,UIN Raden Intan Bandar Lampung  - Manajemen Pendidikan Islam ,UIN Raden Intan Bandar Lampung  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Hukum Keluarga ( Ahwal Syakhsiyyah ),UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pengembangan Masyarakat Islam,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Raden Intan Bandar Lampung  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Walisongo Semarang  - Manajemen Pendidikan Islam,UIN Raden Intan Bandar Lampung  - Ilmu Perpustakaan dan Informasi Islam ( IPII )
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris
UIN Raden Intan Bandar Lampung  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),,
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,IAIN Metro - Manajemen Haji dan Umrah
UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Gunung Djati Bandung  - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Aqidah dan Filsafat Islam,IAIN Metro - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab
UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Walisongo Semarang  - Manajemen Haji dan Umrah,UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah
UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab,IAIN Metro - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Raden Intan Bandar Lampung  - Komunikasi dan Penyiaran Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Syarif Hidayatullah Jakarta - Hukum Keluarga (Ahwal Syakhsiyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Raden Intan Bandar Lampung  - Hukum Keluarga ( Ahwal Syakhsiyyah )
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,IAIN Metro - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sultan Maulana Hasanuddin Banten  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Gunung Djati Bandung  - Manajemen Haji dan Umrah,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Gunung Djati Bandung  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Raden Fatah Palembang - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Raden Intan Bandar Lampung  - Komunikasi dan Penyiaran Islam
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Sunan Gunung Djati Bandung  - Ilmu Al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam,UIN Sunan Ampel Surabaya  - Ilmu Falak
UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,IAIN Tulungagung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Raden Intan Bandar Lampung  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Sosiologi Agama,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Ampel Surabaya  - Komunikasi dan Penyiaran Islam,UIN Raden Intan Bandar Lampung  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Raden Fatah Palembang - Bahasa dan Sastra Arab
UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Walisongo Semarang  - Ilmu Seni dan Arsitektur Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),IAIN Surakarta - Pendidikan Guru Madrasah Ibtidaiyah
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Raden Intan Bandar Lampung  - Manajemen Pendidikan Islam ,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Raden Fatah Palembang - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Maulana Malik Ibrahim Malang  - Hukum Keluarga Islam (Ahwal Syakhshiyyah),UIN Walisongo Semarang  - Komunikasi dan Penyiaran Islam
UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Intan Bandar Lampung  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,IAIN Ponorogo  - Tadris Bahasa Inggris,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Inggris
UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Agama Islam
UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Raden Intan Bandar Lampung  - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Sunan Ampel Surabaya  - Sejarah Peradaban Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Raden Intan Bandar Lampung  - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Raden Intan Bandar Lampung  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Raden Intan Bandar Lampung  - Psikologi Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sultan Maulana Hasanuddin Banten  - Bimbingan Konseling Islam,UIN Raden Intan Bandar Lampung  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,IAIN Metro - Manajemen Haji dan Umrah,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab,UIN Sunan Ampel Surabaya  - Bahasa dan Sastra Arab,UIN Alauddin Makasar  - Komunikasi dan Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Raden Intan Bandar Lampung  - Psikologi Islam
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Maulana Malik Ibrahim Malang  - Hukum Ekonomi Syari'ah
UIN Raden Intan Bandar Lampung  - Sosiologi Agama,UIN Raden Intan Bandar Lampung  - Pendidikan Islam Anak Usia Dini,UIN Sunan Kalijaga Yogyakarta  - Sosiologi Agama
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Walisongo Semarang  - Akuntansi Syariah
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,IAIN Metro - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Ampel Surabaya  - Ekonomi Syariah
UIN Walisongo Semarang  - Pendidikan Agama Islam,UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
IAIN Surakarta - Bimbingan dan Konseling Islam,UIN Raden Intan Bandar Lampung  - Bimbingan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah )
UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Syarif Hidayatullah Jakarta - Perbankan Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Raden Intan Bandar Lampung  - Akuntansi syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Raden Fatah Palembang - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Raden Intan Bandar Lampung  - Manajemen Pendidikan Islam ,UIN Raden Intan Bandar Lampung  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Raden Intan Bandar Lampung  - Ekonomi Syari'ah,UIN Sunan Gunung Djati Bandung  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Sejarah dan Kebudayaan Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Syarif Hidayatullah Jakarta - Hukum Ekonomi Syariah (Muamalah),UIN Sunan Gunung Djati Bandung  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah)
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,IAIN Ponorogo  - Pendidikan Bahasa Arab
UIN Raden Intan Bandar Lampung  - Hukum Tata Negara ( Siyasah Syari'ah ),UIN Raden Intan Bandar Lampung  - Manajemen Bisnis Syariah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah
